CustomerID,churn_probability,value_score,future_revenue_90d
12346.0,2.2204460492503083e-15,0.0,0.0
12347.0,2.2204460492503083e-15,0.0,1294.32
12348.0,2.2204460492503083e-15,0.0,310.0
12349.0,2.2204460492503083e-15,0.0,0.0
12350.0,2.2204460492503083e-15,0.0,0.0
12351.0,2.2204460492503083e-15,0.0,0.0
12352.0,2.2204460492503083e-15,0.0,944.23
12353.0,2.2204460492503083e-15,0.0,0.0
12354.0,2.2204460492503083e-15,0.0,0.0
12355.0,2.2204460492503083e-15,0.0,0.0
12356.0,2.2204460492503083e-15,0.0,0.0
12357.0,2.2204460492503083e-15,0.0,6207.67
12358.0,2.2204460492503083e-15,0.0,0.0
12359.0,2.2204460492503083e-15,0.0,2876.85
12360.0,2.2204460492503083e-15,0.0,1578.48
12361.0,2.2204460492503083e-15,0.0,0.0
12362.0,2.2204460492503083e-15,0.0,3419.09
12363.0,2.2204460492503083e-15,0.0,252.9
12364.0,2.2204460492503083e-15,0.0,1002.78
12365.0,2.2204460492503083e-15,0.0,0.0
12366.0,2.2204460492503083e-15,0.0,0.0
12367.0,2.2204460492503083e-15,0.0,0.0
12368.0,2.2204460492503083e-15,0.0,0.0
12369.0,2.2204460492503083e-15,0.0,0.0
12370.0,2.2204460492503083e-15,0.0,739.28
12371.0,2.2204460492503083e-15,0.0,1887.96
12372.0,2.2204460492503083e-15,0.0,383.12
12373.0,2.2204460492503083e-15,0.0,0.0
12374.0,2.2204460492503083e-15,0.0,0.0
12375.0,2.2204460492503083e-15,0.0,230.3
12376.0,2.2204460492503083e-15,0.0,0.0
12377.0,2.2204460492503083e-15,0.0,0.0
12378.0,2.2204460492503083e-15,0.0,0.0
12379.0,2.2204460492503083e-15,0.0,392.40000000000003
12380.0,2.2204460492503083e-15,0.0,1076.8700000000001
12381.0,2.2204460492503083e-15,0.0,1698.3
12383.0,2.2204460492503083e-15,0.0,0.0
12384.0,2.2204460492503083e-15,0.0,0.0
12385.0,2.2204460492503083e-15,0.0,0.0
12386.0,2.2204460492503083e-15,0.0,0.0
12387.0,2.2204460492503083e-15,0.0,0.0
12388.0,2.2204460492503083e-15,0.0,825.9200000000001
12389.0,2.2204460492503083e-15,0.0,0.0
12390.0,2.2204460492503083e-15,0.0,549.84
12391.0,2.2204460492503083e-15,0.0,0.0
12392.0,2.2204460492503083e-15,0.0,0.0
12393.0,2.2204460492503083e-15,0.0,521.5
12394.0,2.2204460492503083e-15,0.0,891.4
12395.0,2.2204460492503083e-15,0.0,1019.1800000000001
12396.0,2.2204460492503083e-15,0.0,0.0
12397.0,2.2204460492503083e-15,0.0,1195.09
12398.0,2.2204460492503083e-15,0.0,1635.6599999999999
12399.0,2.2204460492503083e-15,0.0,209.62
12400.0,2.2204460492503083e-15,0.0,0.0
12401.0,2.2204460492503083e-15,0.0,0.0
12402.0,2.2204460492503083e-15,0.0,0.0
12403.0,2.2204460492503083e-15,0.0,427.7
12404.0,2.2204460492503083e-15,0.0,0.0
12405.0,2.2204460492503083e-15,0.0,0.0
12406.0,2.2204460492503083e-15,0.0,0.0
12407.0,2.2204460492503083e-15,0.0,300.76
12408.0,2.2204460492503083e-15,0.0,1396.78
12409.0,2.2204460492503083e-15,0.0,4865.59
12410.0,2.2204460492503083e-15,0.0,0.0
12411.0,2.2204460492503083e-15,0.0,0.0
12412.0,2.2204460492503083e-15,0.0,336.14
12413.0,2.2204460492503083e-15,0.0,194.20000000000002
12414.0,2.2204460492503083e-15,0.0,0.0
12415.0,2.2204460492503083e-15,0.0,42293.409999999996
12416.0,2.2204460492503083e-15,0.0,0.0
12417.0,2.2204460492503083e-15,0.0,1025.54
12418.0,2.2204460492503083e-15,0.0,668.58
12419.0,2.2204460492503083e-15,0.0,0.0
12420.0,2.2204460492503083e-15,0.0,600.39
12421.0,2.2204460492503083e-15,0.0,231.76
12422.0,2.2204460492503083e-15,0.0,147.7
12423.0,2.2204460492503083e-15,0.0,198.98
12424.0,2.2204460492503083e-15,0.0,0.0
12425.0,2.2204460492503083e-15,0.0,777.2
12426.0,2.2204460492503083e-15,0.0,0.0
12427.0,2.2204460492503083e-15,0.0,282.58
12428.0,2.2204460492503083e-15,0.0,605.14
12429.0,2.2204460492503083e-15,0.0,0.0
12430.0,2.2204460492503083e-15,0.0,256.4
12431.0,2.2204460492503083e-15,0.0,2221.6400000000003
12432.0,2.2204460492503083e-15,0.0,1042.66
12433.0,2.2204460492503083e-15,0.0,4106.77
12434.0,2.2204460492503083e-15,0.0,519.89
12435.0,2.2204460492503083e-15,0.0,3850.9
12436.0,2.2204460492503083e-15,0.0,509.01
12437.0,2.2204460492503083e-15,0.0,1817.77
12438.0,2.2204460492503083e-15,0.0,0.0
12439.0,2.2204460492503083e-15,0.0,0.0
12440.0,2.2204460492503083e-15,0.0,0.0
12441.0,2.2204460492503083e-15,0.0,0.0
12442.0,2.2204460492503083e-15,0.0,0.0
12443.0,2.2204460492503083e-15,0.0,0.0
12444.0,2.2204460492503083e-15,0.0,1441.55
12445.0,2.2204460492503083e-15,0.0,0.0
12446.0,2.2204460492503083e-15,0.0,1002.3100000000001
12447.0,2.2204460492503083e-15,0.0,0.0
12448.0,2.2204460492503083e-15,0.0,449.45
12449.0,2.2204460492503083e-15,0.0,1087.7
12450.0,2.2204460492503083e-15,0.0,0.0
12451.0,2.2204460492503083e-15,0.0,2539.56
12452.0,2.2204460492503083e-15,0.0,0.0
12453.0,2.2204460492503083e-15,0.0,0.0
12454.0,2.2204460492503083e-15,0.0,3528.34
12455.0,2.2204460492503083e-15,0.0,290.5
12456.0,2.2204460492503083e-15,0.0,915.64
12457.0,2.2204460492503083e-15,0.0,1295.98
12458.0,2.2204460492503083e-15,0.0,505.48
12459.0,2.2204460492503083e-15,0.0,0.0
12460.0,2.2204460492503083e-15,0.0,0.0
12461.0,2.2204460492503083e-15,0.0,200.0
12462.0,2.2204460492503083e-15,0.0,0.0
12463.0,2.2204460492503083e-15,0.0,358.99
12464.0,2.2204460492503083e-15,0.0,190.1
12465.0,2.2204460492503083e-15,0.0,0.0
12466.0,2.2204460492503083e-15,0.0,0.0
12467.0,2.2204460492503083e-15,0.0,0.0
12468.0,2.2204460492503083e-15,0.0,0.0
